position,gene,ID,type,start,end,strand,strain,central_gene
9,yneH,ECOR11_02106,CDS,27865,28791,+,ECOR11_PROKKA,eamA
10,nan,ECOR11_02107,CDS,28791,29150,+,ECOR11_PROKKA,eamA
-9,pgrR_2,ECOR47_01901,CDS,50930,51823,-,ECOR47_PROKKA,ecpA
-8,pgrR_3,ECOR47_01902,CDS,52048,52974,-,ECOR47_PROKKA,ecpA
-7,ycjY_1,ECOR47_01903,CDS,53131,54051,+,ECOR47_PROKKA,ecpA
-6,nan,ECOR47_01904,CDS,54296,55438,+,ECOR47_PROKKA,ecpA
-5,ykgR,ECOR47_01905,CDS,55912,56013,+,ECOR47_PROKKA,ecpA
-4,ykgM,ECOR47_01906,CDS,56375,56641,+,ECOR47_PROKKA,ecpA
-3,ykgO,ECOR47_01907,CDS,56641,56781,+,ECOR47_PROKKA,ecpA
-2,ecpR,ECOR47_01908,CDS,57866,58408,+,ECOR47_PROKKA,ecpA
-1,ecpA,ECOR47_01909,CDS,58483,59070,+,ECOR47_PROKKA,ecpA
1,ecpB,ECOR47_01910,CDS,59128,59796,+,ECOR47_PROKKA,ecpA
2,ecpC,ECOR47_01911,CDS,59822,62347,+,ECOR47_PROKKA,ecpA
3,ecpD,ECOR47_01912,CDS,62337,63980,+,ECOR47_PROKKA,ecpA
4,ecpE,ECOR47_01913,CDS,63949,64659,+,ECOR47_PROKKA,ecpA
5,yagU,ECOR47_01914,CDS,65551,66165,-,ECOR47_PROKKA,ecpA
6,paoA_1,ECOR47_01915,CDS,66572,66811,+,ECOR47_PROKKA,ecpA
7,cysE_2,ECOR47_01916,CDS,109,930,-,ECOR47_PROKKA,ecpA
8,gpsA,ECOR47_01917,CDS,1010,2029,-,ECOR47_PROKKA,ecpA
9,secB,ECOR47_01918,CDS,2029,2496,-,ECOR47_PROKKA,ecpA
10,grxC,ECOR47_01919,CDS,2559,2810,-,ECOR47_PROKKA,ecpA
-9,pgrR_3,ECOR47_01902,CDS,52048,52974,-,ECOR47_PROKKA,ecpB
-8,ycjY_1,ECOR47_01903,CDS,53131,54051,+,ECOR47_PROKKA,ecpB
-7,nan,ECOR47_01904,CDS,54296,55438,+,ECOR47_PROKKA,ecpB
-6,ykgR,ECOR47_01905,CDS,55912,56013,+,ECOR47_PROKKA,ecpB
-5,ykgM,ECOR47_01906,CDS,56375,56641,+,ECOR47_PROKKA,ecpB
-4,ykgO,ECOR47_01907,CDS,56641,56781,+,ECOR47_PROKKA,ecpB
-3,ecpR,ECOR47_01908,CDS,57866,58408,+,ECOR47_PROKKA,ecpB
-2,ecpA,ECOR47_01909,CDS,58483,59070,+,ECOR47_PROKKA,ecpB
-1,ecpB,ECOR47_01910,CDS,59128,59796,+,ECOR47_PROKKA,ecpB
1,ecpC,ECOR47_01911,CDS,59822,62347,+,ECOR47_PROKKA,ecpB
2,ecpD,ECOR47_01912,CDS,62337,63980,+,ECOR47_PROKKA,ecpB
3,ecpE,ECOR47_01913,CDS,63949,64659,+,ECOR47_PROKKA,ecpB
4,yagU,ECOR47_01914,CDS,65551,66165,-,ECOR47_PROKKA,ecpB
5,paoA_1,ECOR47_01915,CDS,66572,66811,+,ECOR47_PROKKA,ecpB
6,cysE_2,ECOR47_01916,CDS,109,930,-,ECOR47_PROKKA,ecpB
7,gpsA,ECOR47_01917,CDS,1010,2029,-,ECOR47_PROKKA,ecpB
8,secB,ECOR47_01918,CDS,2029,2496,-,ECOR47_PROKKA,ecpB
9,grxC,ECOR47_01919,CDS,2559,2810,-,ECOR47_PROKKA,ecpB
10,yibN,ECOR47_01920,CDS,2953,3384,-,ECOR47_PROKKA,ecpB
-9,ycjY_1,ECOR47_01903,CDS,53131,54051,+,ECOR47_PROKKA,ecpC
-8,nan,ECOR47_01904,CDS,54296,55438,+,ECOR47_PROKKA,ecpC
-7,ykgR,ECOR47_01905,CDS,55912,56013,+,ECOR47_PROKKA,ecpC
-6,ykgM,ECOR47_01906,CDS,56375,56641,+,ECOR47_PROKKA,ecpC
-5,ykgO,ECOR47_01907,CDS,56641,56781,+,ECOR47_PROKKA,ecpC
-4,ecpR,ECOR47_01908,CDS,57866,58408,+,ECOR47_PROKKA,ecpC
-3,ecpA,ECOR47_01909,CDS,58483,59070,+,ECOR47_PROKKA,ecpC
-2,ecpB,ECOR47_01910,CDS,59128,59796,+,ECOR47_PROKKA,ecpC
-1,ecpC,ECOR47_01911,CDS,59822,62347,+,ECOR47_PROKKA,ecpC
1,ecpD,ECOR47_01912,CDS,62337,63980,+,ECOR47_PROKKA,ecpC
2,ecpE,ECOR47_01913,CDS,63949,64659,+,ECOR47_PROKKA,ecpC
3,yagU,ECOR47_01914,CDS,65551,66165,-,ECOR47_PROKKA,ecpC
4,paoA_1,ECOR47_01915,CDS,66572,66811,+,ECOR47_PROKKA,ecpC
5,cysE_2,ECOR47_01916,CDS,109,930,-,ECOR47_PROKKA,ecpC
6,gpsA,ECOR47_01917,CDS,1010,2029,-,ECOR47_PROKKA,ecpC
7,secB,ECOR47_01918,CDS,2029,2496,-,ECOR47_PROKKA,ecpC
8,grxC,ECOR47_01919,CDS,2559,2810,-,ECOR47_PROKKA,ecpC
9,yibN,ECOR47_01920,CDS,2953,3384,-,ECOR47_PROKKA,ecpC
10,gpmI,ECOR47_01921,CDS,3629,5173,+,ECOR47_PROKKA,ecpC
-9,ycjY_1,ECOR47_01903,CDS,53131,54051,+,ECOR47_PROKKA,ecpE
-8,nan,ECOR47_01904,CDS,54296,55438,+,ECOR47_PROKKA,ecpE
-7,ykgR,ECOR47_01905,CDS,55912,56013,+,ECOR47_PROKKA,ecpE
-6,ykgM,ECOR47_01906,CDS,56375,56641,+,ECOR47_PROKKA,ecpE
-5,ykgO,ECOR47_01907,CDS,56641,56781,+,ECOR47_PROKKA,ecpE
-4,ecpR,ECOR47_01908,CDS,57866,58408,+,ECOR47_PROKKA,ecpE
-3,ecpA,ECOR47_01909,CDS,58483,59070,+,ECOR47_PROKKA,ecpE
-2,ecpB,ECOR47_01910,CDS,59128,59796,+,ECOR47_PROKKA,ecpE
-1,ecpC,ECOR47_01911,CDS,59822,62347,+,ECOR47_PROKKA,ecpE
1,ecpD,ECOR47_01912,CDS,62337,63980,+,ECOR47_PROKKA,ecpE
2,ecpE,ECOR47_01913,CDS,63949,64659,+,ECOR47_PROKKA,ecpE
3,yagU,ECOR47_01914,CDS,65551,66165,-,ECOR47_PROKKA,ecpE
4,paoA_1,ECOR47_01915,CDS,66572,66811,+,ECOR47_PROKKA,ecpE
5,cysE_2,ECOR47_01916,CDS,109,930,-,ECOR47_PROKKA,ecpE
6,gpsA,ECOR47_01917,CDS,1010,2029,-,ECOR47_PROKKA,ecpE
7,secB,ECOR47_01918,CDS,2029,2496,-,ECOR47_PROKKA,ecpE
8,grxC,ECOR47_01919,CDS,2559,2810,-,ECOR47_PROKKA,ecpE
9,yibN,ECOR47_01920,CDS,2953,3384,-,ECOR47_PROKKA,ecpE
10,gpmI,ECOR47_01921,CDS,3629,5173,+,ECOR47_PROKKA,ecpE
-9,iolS_2,ECOR47_01900,CDS,49910,50899,+,ECOR47_PROKKA,ecpR
-8,pgrR_2,ECOR47_01901,CDS,50930,51823,-,ECOR47_PROKKA,ecpR
-7,pgrR_3,ECOR47_01902,CDS,52048,52974,-,ECOR47_PROKKA,ecpR
-6,ycjY_1,ECOR47_01903,CDS,53131,54051,+,ECOR47_PROKKA,ecpR
-5,nan,ECOR47_01904,CDS,54296,55438,+,ECOR47_PROKKA,ecpR
-4,ykgR,ECOR47_01905,CDS,55912,56013,+,ECOR47_PROKKA,ecpR
-3,ykgM,ECOR47_01906,CDS,56375,56641,+,ECOR47_PROKKA,ecpR
-2,ykgO,ECOR47_01907,CDS,56641,56781,+,ECOR47_PROKKA,ecpR
-1,ecpR,ECOR47_01908,CDS,57866,58408,+,ECOR47_PROKKA,ecpR
1,ecpA,ECOR47_01909,CDS,58483,59070,+,ECOR47_PROKKA,ecpR
2,ecpB,ECOR47_01910,CDS,59128,59796,+,ECOR47_PROKKA,ecpR
3,ecpC,ECOR47_01911,CDS,59822,62347,+,ECOR47_PROKKA,ecpR
4,ecpD,ECOR47_01912,CDS,62337,63980,+,ECOR47_PROKKA,ecpR
5,ecpE,ECOR47_01913,CDS,63949,64659,+,ECOR47_PROKKA,ecpR
6,yagU,ECOR47_01914,CDS,65551,66165,-,ECOR47_PROKKA,ecpR
7,paoA_1,ECOR47_01915,CDS,66572,66811,+,ECOR47_PROKKA,ecpR
8,cysE_2,ECOR47_01916,CDS,109,930,-,ECOR47_PROKKA,ecpR
9,gpsA,ECOR47_01917,CDS,1010,2029,-,ECOR47_PROKKA,ecpR
10,secB,ECOR47_01918,CDS,2029,2496,-,ECOR47_PROKKA,ecpR
-9,yggF,ECOR47_02558,CDS,376643,377608,+,ECOR47_PROKKA,epd
-8,fumE,ECOR47_02559,CDS,377630,378139,+,ECOR47_PROKKA,epd
-7,coaA_1,ECOR47_02560,CDS,378136,378849,+,ECOR47_PROKKA,epd
-6,ecfA1_1,ECOR47_02561,CDS,378821,379498,-,ECOR47_PROKKA,epd
-5,ecfA1_2,ECOR47_02562,CDS,379492,380169,-,ECOR47_PROKKA,epd
-4,nan,ECOR47_02563,CDS,380157,380864,-,ECOR47_PROKKA,epd
-3,nan,ECOR47_02564,CDS,380865,381443,-,ECOR47_PROKKA,epd
-2,nan,ECOR47_02565,CDS,381466,381897,-,ECOR47_PROKKA,epd
-1,epd,ECOR47_02566,CDS,382269,383288,+,ECOR47_PROKKA,epd
1,pgk,ECOR47_02567,CDS,383338,384501,+,ECOR47_PROKKA,epd
2,fbaA,ECOR47_02568,CDS,384715,385794,+,ECOR47_PROKKA,epd
3,mscS,ECOR47_02569,CDS,386152,387027,+,ECOR47_PROKKA,epd
4,nan,ECOR47_02570,CDS,387069,388112,-,ECOR47_PROKKA,epd
5,argO,ECOR47_02571,CDS,388228,388863,+,ECOR47_PROKKA,epd
6,nan,ECOR47_02572,CDS,388956,389696,+,ECOR47_PROKKA,epd
7,cynR_2,ECOR47_02573,CDS,389864,390760,+,ECOR47_PROKKA,epd
8,scpC,ECOR47_02574,CDS,390757,392235,-,ECOR47_PROKKA,epd
9,scpB,ECOR47_02575,CDS,392259,393044,-,ECOR47_PROKKA,epd
10,argK,ECOR47_02576,CDS,393055,394050,-,ECOR47_PROKKA,epd
-9,eutS,ECOR47_04128,CDS,55170,55505,+,ECOR47_PROKKA,eutB
-8,pduV_2,ECOR47_04129,CDS,55518,55997,+,ECOR47_PROKKA,eutB
-7,eutQ,ECOR47_04130,CDS,55972,56673,+,ECOR47_PROKKA,eutB
-6,nan,ECOR47_04131,CDS,56670,57473,+,ECOR47_PROKKA,eutB
-5,eutD,ECOR47_04132,CDS,57470,58486,+,ECOR47_PROKKA,eutB
-4,eutM,ECOR47_04133,CDS,58525,58818,+,ECOR47_PROKKA,eutB
-3,eutN,ECOR47_04134,CDS,58925,59212,+,ECOR47_PROKKA,eutB
-2,proA_2,ECOR47_04135,CDS,59224,60627,+,ECOR47_PROKKA,eutB
-1,ftsA_2,ECOR47_04136,CDS,60638,61474,+,ECOR47_PROKKA,eutB
1,mdh_2,ECOR47_04137,CDS,61464,62651,+,ECOR47_PROKKA,eutB
2,nan,ECOR47_04138,CDS,63067,64293,+,ECOR47_PROKKA,eutB
3,nan,ECOR47_04139,CDS,64290,65693,+,ECOR47_PROKKA,eutB
4,eutB,ECOR47_04140,CDS,65705,67066,+,ECOR47_PROKKA,eutB
5,eutC,ECOR47_04141,CDS,67087,67974,+,ECOR47_PROKKA,eutB
6,eutL,ECOR47_04142,CDS,67984,68643,+,ECOR47_PROKKA,eutB
7,eutK,ECOR47_04143,CDS,68656,69156,+,ECOR47_PROKKA,eutB
8,nan,ECOR47_04144,CDS,69202,70254,+,ECOR47_PROKKA,eutB
9,hemF,ECOR47_04145,CDS,70260,71162,-,ECOR47_PROKKA,eutB
10,amiA,ECOR47_04146,CDS,71163,72032,-,ECOR47_PROKKA,eutB
-9,nan,ECOR47_04131,CDS,56670,57473,+,ECOR47_PROKKA,eutC
-8,eutD,ECOR47_04132,CDS,57470,58486,+,ECOR47_PROKKA,eutC
-7,eutM,ECOR47_04133,CDS,58525,58818,+,ECOR47_PROKKA,eutC
-6,eutN,ECOR47_04134,CDS,58925,59212,+,ECOR47_PROKKA,eutC
-5,proA_2,ECOR47_04135,CDS,59224,60627,+,ECOR47_PROKKA,eutC
-4,ftsA_2,ECOR47_04136,CDS,60638,61474,+,ECOR47_PROKKA,eutC
-3,mdh_2,ECOR47_04137,CDS,61464,62651,+,ECOR47_PROKKA,eutC
-2,nan,ECOR47_04138,CDS,63067,64293,+,ECOR47_PROKKA,eutC
-1,nan,ECOR47_04139,CDS,64290,65693,+,ECOR47_PROKKA,eutC
1,eutB,ECOR47_04140,CDS,65705,67066,+,ECOR47_PROKKA,eutC
2,eutC,ECOR47_04141,CDS,67087,67974,+,ECOR47_PROKKA,eutC
3,eutL,ECOR47_04142,CDS,67984,68643,+,ECOR47_PROKKA,eutC
4,eutK,ECOR47_04143,CDS,68656,69156,+,ECOR47_PROKKA,eutC
5,nan,ECOR47_04144,CDS,69202,70254,+,ECOR47_PROKKA,eutC
6,hemF,ECOR47_04145,CDS,70260,71162,-,ECOR47_PROKKA,eutC
7,amiA,ECOR47_04146,CDS,71163,72032,-,ECOR47_PROKKA,eutC
8,ypeA,ECOR47_04147,CDS,72246,72671,+,ECOR47_PROKKA,eutC
9,yfeZ,ECOR47_04148,CDS,72658,73107,+,ECOR47_PROKKA,eutC
10,yfeY,ECOR47_04149,CDS,73168,73743,+,ECOR47_PROKKA,eutC
-9,ftsA_2,ECOR47_04136,CDS,60638,61474,+,ECOR47_PROKKA,eutK
-8,mdh_2,ECOR47_04137,CDS,61464,62651,+,ECOR47_PROKKA,eutK
-7,nan,ECOR47_04138,CDS,63067,64293,+,ECOR47_PROKKA,eutK
-6,nan,ECOR47_04139,CDS,64290,65693,+,ECOR47_PROKKA,eutK
-5,eutB,ECOR47_04140,CDS,65705,67066,+,ECOR47_PROKKA,eutK
-4,eutC,ECOR47_04141,CDS,67087,67974,+,ECOR47_PROKKA,eutK
-3,eutL,ECOR47_04142,CDS,67984,68643,+,ECOR47_PROKKA,eutK
-2,eutK,ECOR47_04143,CDS,68656,69156,+,ECOR47_PROKKA,eutK
-1,nan,ECOR47_04144,CDS,69202,70254,+,ECOR47_PROKKA,eutK
1,hemF,ECOR47_04145,CDS,70260,71162,-,ECOR47_PROKKA,eutK
2,amiA,ECOR47_04146,CDS,71163,72032,-,ECOR47_PROKKA,eutK
3,ypeA,ECOR47_04147,CDS,72246,72671,+,ECOR47_PROKKA,eutK
4,yfeZ,ECOR47_04148,CDS,72658,73107,+,ECOR47_PROKKA,eutK
5,yfeY,ECOR47_04149,CDS,73168,73743,+,ECOR47_PROKKA,eutK
6,yfeX,ECOR47_04150,CDS,73839,74738,+,ECOR47_PROKKA,eutK
7,yfeW,ECOR47_04151,CDS,74796,76097,-,ECOR47_PROKKA,eutK
8,murP,ECOR47_04152,CDS,76102,77526,-,ECOR47_PROKKA,eutK
9,murQ,ECOR47_04153,CDS,77530,78426,-,ECOR47_PROKKA,eutK
10,murR_3,ECOR47_04154,CDS,78590,79447,+,ECOR47_PROKKA,eutK
-9,eutN,ECOR47_04134,CDS,58925,59212,+,ECOR47_PROKKA,eutL
-8,proA_2,ECOR47_04135,CDS,59224,60627,+,ECOR47_PROKKA,eutL
-7,ftsA_2,ECOR47_04136,CDS,60638,61474,+,ECOR47_PROKKA,eutL
-6,mdh_2,ECOR47_04137,CDS,61464,62651,+,ECOR47_PROKKA,eutL
-5,nan,ECOR47_04138,CDS,63067,64293,+,ECOR47_PROKKA,eutL
-4,nan,ECOR47_04139,CDS,64290,65693,+,ECOR47_PROKKA,eutL
-3,eutB,ECOR47_04140,CDS,65705,67066,+,ECOR47_PROKKA,eutL
-2,eutC,ECOR47_04141,CDS,67087,67974,+,ECOR47_PROKKA,eutL
-1,eutL,ECOR47_04142,CDS,67984,68643,+,ECOR47_PROKKA,eutL
1,eutK,ECOR47_04143,CDS,68656,69156,+,ECOR47_PROKKA,eutL
2,nan,ECOR47_04144,CDS,69202,70254,+,ECOR47_PROKKA,eutL
3,hemF,ECOR47_04145,CDS,70260,71162,-,ECOR47_PROKKA,eutL
4,amiA,ECOR47_04146,CDS,71163,72032,-,ECOR47_PROKKA,eutL
5,ypeA,ECOR47_04147,CDS,72246,72671,+,ECOR47_PROKKA,eutL
6,yfeZ,ECOR47_04148,CDS,72658,73107,+,ECOR47_PROKKA,eutL
7,yfeY,ECOR47_04149,CDS,73168,73743,+,ECOR47_PROKKA,eutL
8,yfeX,ECOR47_04150,CDS,73839,74738,+,ECOR47_PROKKA,eutL
9,yfeW,ECOR47_04151,CDS,74796,76097,-,ECOR47_PROKKA,eutL
10,murP,ECOR47_04152,CDS,76102,77526,-,ECOR47_PROKKA,eutL
-9,hyi,ECOR47_00057,CDS,83057,83833,+,ECOR47_PROKKA,fdrA
-8,glxR,ECOR47_00058,CDS,83933,84811,+,ECOR47_PROKKA,fdrA
-7,ybbW,ECOR47_00059,CDS,84981,86435,+,ECOR47_PROKKA,fdrA
-6,allB_1,ECOR47_00060,CDS,86495,87247,+,ECOR47_PROKKA,fdrA
-5,allB_2,ECOR47_00061,CDS,87248,87856,+,ECOR47_PROKKA,fdrA
-4,ybbY,ECOR47_00062,CDS,87913,89214,+,ECOR47_PROKKA,fdrA
-3,glxK,ECOR47_00063,CDS,89236,90381,+,ECOR47_PROKKA,fdrA
-2,allE,ECOR47_00064,CDS,90511,91296,-,ECOR47_PROKKA,fdrA
-1,allC,ECOR47_00065,CDS,91307,92542,-,ECOR47_PROKKA,fdrA
1,allD,ECOR47_00066,CDS,92564,93613,-,ECOR47_PROKKA,fdrA
2,fdrA_1,ECOR47_00067,CDS,93930,95597,+,ECOR47_PROKKA,fdrA
3,nan,ECOR47_00068,CDS,95607,96866,+,ECOR47_PROKKA,fdrA
4,nan,ECOR47_00069,CDS,96877,97692,+,ECOR47_PROKKA,fdrA
5,arcC2_1,ECOR47_00070,CDS,97689,98582,+,ECOR47_PROKKA,fdrA
6,purK,ECOR47_00071,CDS,98719,99786,-,ECOR47_PROKKA,fdrA
7,purE,ECOR47_00072,CDS,99783,100292,-,ECOR47_PROKKA,fdrA
8,lpxH,ECOR47_00073,CDS,100410,101132,-,ECOR47_PROKKA,fdrA
9,ppiB,ECOR47_00074,CDS,101135,101629,-,ECOR47_PROKKA,fdrA
10,cysS,ECOR47_00075,CDS,101803,103188,+,ECOR47_PROKKA,fdrA
-9,leuE_2,ECOR47_01867,CDS,8608,9066,+,ECOR47_PROKKA,fdrA_1
-8,nan,ECOR47_01869,CDS,9915,10730,-,ECOR47_PROKKA,fdrA_1
-7,yahK,ECOR47_01870,CDS,10973,12022,-,ECOR47_PROKKA,fdrA_1
-6,lsrD_2,ECOR47_01871,CDS,12109,13065,-,ECOR47_PROKKA,fdrA_1
-5,rbsC_3,ECOR47_01872,CDS,13062,14033,-,ECOR47_PROKKA,fdrA_1
-4,rbsA_2,ECOR47_01873,CDS,14026,15510,-,ECOR47_PROKKA,fdrA_1
-3,lsrB_2,ECOR47_01874,CDS,15559,16545,-,ECOR47_PROKKA,fdrA_1
-2,nan,ECOR47_01875,CDS,16796,17206,-,ECOR47_PROKKA,fdrA_1
-1,dadD,ECOR47_01876,CDS,17501,18883,-,ECOR47_PROKKA,fdrA_1
1,arcC2_2,ECOR47_01877,CDS,18893,19843,-,ECOR47_PROKKA,fdrA_1
2,nan,ECOR47_01878,CDS,19939,21357,-,ECOR47_PROKKA,fdrA_1
3,fdrA_2,ECOR47_01879,CDS,21357,22904,-,ECOR47_PROKKA,fdrA_1
4,nan,ECOR47_01880,CDS,22894,23757,-,ECOR47_PROKKA,fdrA_1
5,nan,ECOR47_01881,CDS,23797,24402,-,ECOR47_PROKKA,fdrA_1
6,nan,ECOR47_01882,CDS,24660,25157,+,ECOR47_PROKKA,fdrA_1
7,yahB_2,ECOR47_01883,CDS,25249,26181,+,ECOR47_PROKKA,fdrA_1
8,pdeL,ECOR47_01884,CDS,26223,27311,-,ECOR47_PROKKA,fdrA_1
9,betT,ECOR47_01885,CDS,28188,30221,-,ECOR47_PROKKA,fdrA_1
10,betI_2,ECOR47_01886,CDS,30350,30937,+,ECOR47_PROKKA,fdrA_1
-9,nan,ECOR51_00827,CDS,52880,53419,-,ECOR51_PROKKA,fhuE
-8,ndh,ECOR51_00828,CDS,53646,54950,-,ECOR51_PROKKA,fhuE
-7,nan,ECOR51_00829,CDS,55349,55891,-,ECOR51_PROKKA,fhuE
-6,nagZ,ECOR51_00830,CDS,55914,56939,-,ECOR51_PROKKA,fhuE
-5,thiK,ECOR51_00831,CDS,56950,57774,-,ECOR51_PROKKA,fhuE
-4,lpoB,ECOR51_00832,CDS,57755,58396,-,ECOR51_PROKKA,fhuE
-3,nan,ECOR51_00833,CDS,58410,58763,-,ECOR51_PROKKA,fhuE
-2,hinT,ECOR51_00834,CDS,58790,59149,-,ECOR51_PROKKA,fhuE
-1,fhuE,ECOR51_00835,CDS,59471,61660,+,ECOR51_PROKKA,fhuE
1,ptsG_1,ECOR51_00836,CDS,61720,62496,-,ECOR51_PROKKA,fhuE
2,ptsG_2,ECOR51_00837,CDS,62512,63153,-,ECOR51_PROKKA,fhuE
3,ycfH,ECOR51_00838,CDS,63448,64245,-,ECOR51_PROKKA,fhuE
4,holB,ECOR51_00839,CDS,64256,65260,-,ECOR51_PROKKA,fhuE
5,tmk_1,ECOR51_00840,CDS,65257,65898,-,ECOR51_PROKKA,fhuE
6,mltG,ECOR51_00841,CDS,65888,66910,-,ECOR51_PROKKA,fhuE
7,pabC,ECOR51_00842,CDS,66913,67722,-,ECOR51_PROKKA,fhuE
8,fabF_1,ECOR51_00843,CDS,67842,69083,-,ECOR51_PROKKA,fhuE
9,acpP_1,ECOR51_00844,CDS,69170,69406,-,ECOR51_PROKKA,fhuE
10,fabG_1,ECOR51_00845,CDS,69617,70351,-,ECOR51_PROKKA,fhuE
-9,fabD,ECOR47_03985,CDS,133594,134523,+,ECOR47_PROKKA,fhuE
-8,fabG_3,ECOR47_03986,CDS,134536,135270,+,ECOR47_PROKKA,fhuE
-7,acpP_4,ECOR47_03987,CDS,135481,135717,+,ECOR47_PROKKA,fhuE
-6,fabF_3,ECOR47_03988,CDS,135805,137046,+,ECOR47_PROKKA,fhuE
-5,pabC,ECOR47_03989,CDS,137166,137975,+,ECOR47_PROKKA,fhuE
-4,mltG,ECOR47_03990,CDS,137978,139000,+,ECOR47_PROKKA,fhuE
-3,tmk_3,ECOR47_03991,CDS,138990,139631,+,ECOR47_PROKKA,fhuE
-2,holB,ECOR47_03992,CDS,139628,140632,+,ECOR47_PROKKA,fhuE
-1,ycfH,ECOR47_03993,CDS,140643,141440,+,ECOR47_PROKKA,fhuE
1,ptsG,ECOR47_03994,CDS,141735,143168,+,ECOR47_PROKKA,fhuE
2,fhuE,ECOR47_03995,CDS,143228,145417,-,ECOR47_PROKKA,fhuE
3,hinT,ECOR47_03996,CDS,145751,146110,+,ECOR47_PROKKA,fhuE
4,nan,ECOR47_03997,CDS,146113,146490,+,ECOR47_PROKKA,fhuE
5,lpoB,ECOR47_03998,CDS,146504,147145,+,ECOR47_PROKKA,fhuE
6,thiK,ECOR47_03999,CDS,147126,147950,+,ECOR47_PROKKA,fhuE
7,nagZ,ECOR47_04000,CDS,147961,148986,+,ECOR47_PROKKA,fhuE
8,nan,ECOR47_04001,CDS,149009,149551,+,ECOR47_PROKKA,fhuE
9,ndh,ECOR47_04002,CDS,149951,151255,+,ECOR47_PROKKA,fhuE
10,nan,ECOR47_04003,CDS,151482,152021,+,ECOR47_PROKKA,fhuE
-9,lgoR,ECOR47_00173,CDS,101047,101961,-,ECOR47_PROKKA,fhuF
-8,lgoD,ECOR47_00174,CDS,102100,103122,+,ECOR47_PROKKA,fhuF
-7,mdoB,ECOR47_00175,CDS,103260,105551,-,ECOR47_PROKKA,fhuF
-6,nan,ECOR47_00176,CDS,105805,106299,-,ECOR47_PROKKA,fhuF
-5,dnaC,ECOR47_00177,CDS,106348,107085,-,ECOR47_PROKKA,fhuF
-4,dnaT_1,ECOR47_00178,CDS,107088,107627,-,ECOR47_PROKKA,fhuF
-3,nan,ECOR47_00179,CDS,107734,108207,-,ECOR47_PROKKA,fhuF
-2,yjjP,ECOR47_00180,CDS,108198,108968,-,ECOR47_PROKKA,fhuF
-1,yjjQ,ECOR47_00181,CDS,109587,110312,+,ECOR47_PROKKA,fhuF
1,bglJ,ECOR47_00182,CDS,110270,110947,+,ECOR47_PROKKA,fhuF
2,fhuF,ECOR47_00183,CDS,110985,111773,-,ECOR47_PROKKA,fhuF
3,nan,ECOR47_00184,CDS,111914,112150,+,ECOR47_PROKKA,fhuF
4,rsmC,ECOR47_00186,CDS,112654,113685,-,ECOR47_PROKKA,fhuF
5,holD,ECOR47_00187,CDS,113788,114201,+,ECOR47_PROKKA,fhuF
6,rimI,ECOR47_00188,CDS,114170,114616,+,ECOR47_PROKKA,fhuF
7,yjjG,ECOR47_00189,CDS,114631,115308,+,ECOR47_PROKKA,fhuF
8,prfC,ECOR47_00190,CDS,115399,116988,+,ECOR47_PROKKA,fhuF
9,osmY_1,ECOR47_00191,CDS,117381,117986,+,ECOR47_PROKKA,fhuF
10,nan,ECOR47_00192,CDS,118113,118274,+,ECOR47_PROKKA,fhuF
-9,nan,ECOR53_03146,CDS,256113,256274,-,ECOR53_PROKKA,fhuF
-8,osmY_1,ECOR53_03147,CDS,256401,257006,-,ECOR53_PROKKA,fhuF
-7,prfC,ECOR53_03148,CDS,257408,259024,-,ECOR53_PROKKA,fhuF
-6,yjjG,ECOR53_03149,CDS,259088,259765,-,ECOR53_PROKKA,fhuF
-5,rimI,ECOR53_03150,CDS,259780,260226,-,ECOR53_PROKKA,fhuF
-4,holD,ECOR53_03151,CDS,260195,260608,-,ECOR53_PROKKA,fhuF
-3,rsmC,ECOR53_03152,CDS,260711,261742,+,ECOR53_PROKKA,fhuF
-2,nan,ECOR53_03156,CDS,262413,262649,-,ECOR53_PROKKA,fhuF
-1,fhuF,ECOR53_03157,CDS,262790,263575,+,ECOR53_PROKKA,fhuF
1,bglJ,ECOR53_03158,CDS,263612,264289,-,ECOR53_PROKKA,fhuF
2,yjjQ,ECOR53_03159,CDS,264247,264972,-,ECOR53_PROKKA,fhuF
3,yjjP,ECOR53_03160,CDS,265600,266370,+,ECOR53_PROKKA,fhuF
4,nan,ECOR53_03161,CDS,266361,266834,+,ECOR53_PROKKA,fhuF
5,dnaT,ECOR53_03162,CDS,266941,267480,+,ECOR53_PROKKA,fhuF
6,dnaC,ECOR53_03163,CDS,267483,268220,+,ECOR53_PROKKA,fhuF
7,nan,ECOR53_03164,CDS,268269,268763,+,ECOR53_PROKKA,fhuF
8,mdoB,ECOR53_03165,CDS,268940,271309,+,ECOR53_PROKKA,fhuF
9,lgoD_1,ECOR53_03166,CDS,271488,272510,-,ECOR53_PROKKA,fhuF
10,lgoR,ECOR53_03167,CDS,272649,273554,+,ECOR53_PROKKA,fhuF
-9,nan,ECOR47_00111,CDS,22399,24300,-,ECOR47_PROKKA,fimD
-8,recF_1,ECOR47_00112,CDS,24297,26030,-,ECOR47_PROKKA,fimD
-7,nanS,ECOR47_00113,CDS,26894,27880,-,ECOR47_PROKKA,fimD
-6,nanM,ECOR47_00114,CDS,27945,29051,-,ECOR47_PROKKA,fimD
-5,nanC,ECOR47_00115,CDS,29071,29787,-,ECOR47_PROKKA,fimD
-4,nan,ECOR47_00116,CDS,31239,31841,+,ECOR47_PROKKA,fimD
